ticker,name,close,high_252,pct_from_high,ma200,momentum_pct,new_high_count,volume_ratio,overheat_pct,score,industry
OKTA,"Okta, Inc.",205.36000061035156,192.58999633789062,6.630668526550325,107.47062519073486,153.21825459205363,4,1.1927605946498923,7.8288285119591805,10.053673324252573,Information Technology
CRWD,크라우드스트라이크 홀딩스,262.489990234375,250.32000732421875,4.8617699560840455,148.22761238098144,154.0369134885614,6,1.0183444527610386,8.247756314960679,10.020190127189109,Information Technology
TWLO,Twilio,290.70001220703125,266.4800109863281,9.088862286914924,169.72165019989015,128.7355579381364,2,2.258044330539209,20.04460183798589,9.794822227446028,Information Technology
FTNT,포티넷,178.74000549316406,176.10000610351562,1.4991478126903557,114.82384979248047,115.94782257144989,2,0.7322017455655274,3.6955447911023294,7.629592874138021,Information Technology
NTRA,나테라,390.7900085449219,373.07000732421875,4.74977909583159,242.1276505279541,95.30711964480093,7,1.2535874522600021,11.406012288288542,7.368943434500049,Health Care
ILMN,"Illumina, Inc.",255.3800048828125,250.05999755859375,2.1274923522992406,157.2523997116089,106.30099603689351,3,0.6245526443388372,14.885965448784757,7.0896024461835125,Health Care
AVT,Avnet,101.1500015258789,100.0,1.1500015258789062,74.38864974975586,69.34539142990221,1,1.4167248673425972,9.18609908495031,5.933994438837708,Information Technology
DT,Dynatrace,58.5099983215332,57.22999954223633,2.2365870863797976,42.03414991378784,52.6878882763561,4,1.1991417738515848,6.054015340656557,5.03353618766939,Information Technology
FFIV,"F5, Inc.",455.989990234375,451.0199890136719,1.101946996090337,337.5056502532959,57.37359455888698,2,0.9009582868865512,5.827605149232145,4.8696380148309,Information Technology
A,Agilent Technologies,165.32000732421875,163.75,0.958783098759542,131.69495014190673,47.580800105702735,1,1.2581252383776877,10.015307529019573,4.687165243662824,Health Care
TMO,써모 피셔 사이언티픽,665.2999877929688,663.5700073242188,0.26070805637011496,538.7464506530762,39.14916644092731,3,1.1358617750745748,3.727836822909837,4.24332009712094,Health Care
BIIB,Biogen,227.52999877929688,225.8000030517578,0.76616284506538,193.2703002166748,23.900021528818662,1,1.8196191549164056,5.255123609462807,4.064620231357338,Health Care
DE,디어,709.47998046875,705.8800048828125,0.509998237807452,579.4810490417481,24.68234432995087,3,1.4074099864984584,3.7190812318851503,3.7915272029960017,Industrials
