ticker,name,close,ma30w,volume_ratio,volume_condition,mansfield_rs,industry
000880,한화,134900.0,116303.33333333333,36.47201233868018,A,0.9261078555973912,기타 화학제품 제조업
041190,우리기술투자,6490.0,6072.333333333333,24.440052765694446,A,1.336667507173095,기타 금융업
036190,금화피에스시,34850.0,34611.666666666664,18.981259344250898,A,20.140410174009247,전기 및 통신 공사업
053690,한미글로벌,23000.0,21751.333333333332,17.716715539424737,A,-15.198097331069215,"건축기술, 엔지니어링 및 관련 기술 서비스업"
192650,드림텍,6150.0,5972.166666666667,15.04374328756785,A,-27.856180189903558,전자부품 제조업
001530,DI동일,28050.0,24323.333333333332,10.658157121756554,A,-6.094214681668831,상품 중개업
004490,세방전지,66300.0,59375.0,9.002949640395544,A,-18.85156330741712,일차전지 및 이차전지 제조업
018000,유니슨,1214.0,1119.5,8.653037470085819,B,23.18734857941034,일반 목적용 기계 제조업
023760,한국캐피탈,1398.0,873.6666666666666,8.569482372736466,A,90.87985056615136,기타 금융업
128940,한미약품,509000.0,472933.3333333333,8.391910643740767,A,-11.97024477452453,의약품 제조업
204620,글로벌텍스프리,5960.0,5051.666666666667,5.9388082856523505,B,30.75475216584065,금융 지원 서비스업
472850,폰드그룹,5550.0,5054.0,5.881293242243593,B,24.128506047445207,"섬유, 의복, 신발 및 가죽제품 소매업"
020560,아시아나항공,7680.0,7243.333333333333,5.1010831220107615,A,-27.051741448821055,항공 여객 운송업
225570,넥슨게임즈,11100.0,10560.666666666666,5.069365001985434,A,8.546617450965943,소프트웨어 개발 및 공급업
091580,상신이디피,22500.0,18801.333333333332,4.339134425829105,A,61.940197361184815,일차전지 및 이차전지 제조업
047040,대우건설,19690.0,19135.666666666668,3.953623756125601,A,43.190455571844375,건물 건설업
460860,동국제강,10380.0,10079.666666666666,3.9474099078455662,A,-15.294194405463102,1차 철강 제조업
086450,동국제약,21500.0,20563.333333333332,3.650645032284013,A,26.336671656733834,의약품 제조업
062040,산일전기,202500.0,193553.33333333334,3.371003867906773,A,-2.3986853000444563,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
002310,아세아제지,8560.0,8544.666666666666,3.355596128320263,A,-20.19947997181418,"골판지, 종이 상자 및 종이용기 제조업"
300720,한일시멘트,16950.0,15884.333333333334,3.168731519598836,A,-25.92804368908803,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003555,LG우,71400.0,70286.66666666667,3.0527773024934284,A,-20.01630622504057,정보없음
035600,KG이니시스,10640.0,10409.333333333334,2.9691104489799884,B,16.26733553467932,소프트웨어 개발 및 공급업
078520,에이블씨엔씨,12670.0,11798.666666666666,2.953473414578218,B,-13.720983287867494,기타 화학제품 제조업
080580,오킨스전자,20300.0,17773.666666666668,2.8789810465564236,A,66.19316785486919,전자부품 제조업
284740,쿠쿠홈시스,24050.0,23358.333333333332,2.800186674790477,A,-24.89423324691379,개인 및 가정용품 임대업
090435,아모레퍼시픽우,46800.0,44510.0,2.7128271765361056,B,-19.841694405996467,정보없음
012750,에스원,83500.0,80296.66666666667,2.7082972157692176,A,-20.179201353589214,"경비, 경호 및 탐정업"
066970,엘앤에프,134800.0,132333.33333333334,2.6166400769881193,A,-11.869703860131665,일차전지 및 이차전지 제조업
003490,대한항공,28700.0,25991.666666666668,2.5353890590972306,A,-9.612593324519892,항공 여객 운송업
