ticker,name,tier,score,close,ma30w,pct_from_high,volume_ratio,curl_up_pct,base_slope_pct,rel_return,industry
HAE,Haemonetics,돌파(거래량부족),8.775452084091153,108.22000122070312,68.86166636149089,17.311654439786587,1.2627118644067796,3.4761702971361252,0.8583149841144093,61.97143436191629,Health Care
CRL,Charles River Laboratories,돌파(거래량부족),8.227938355709991,291.45001220703125,194.85800120035807,1.1908976196775554,0.8393082547567665,3.7052409040908745,2.9431749247000467,63.65895186846456,Health Care
HALO,Halozyme,돌파(거래량부족),8.147511000932678,106.12000274658203,73.87900060017904,1.2788738145604208,0.8561418156851516,5.084063202512659,3.0170411957789334,61.86146609650841,Health Care
THC,Tenet Health,돌파(거래량부족),7.56030047364958,272.6000061035156,207.32933451334637,0.7502674813710476,0.4130432769824757,4.55969774821615,-2.4602043838261554,57.865552700994385,Health Care
CART,Maplebear Inc.,돌파(거래량부족),6.905720155936537,51.06999969482422,41.570499420166016,0.019581514422820107,1.0552299747062004,2.492634146583549,1.8426137061850207,30.695031036976783,Consumer Staples
ARGX,아제닉스(ADR),돌파(거래량부족),6.872691264215186,1038.1199951171875,826.5233296712239,8.865535824182295,1.0710396556431796,1.4941879562017355,0.1457261271925377,26.55696617775578,정보없음
LH,Labcorp,돌파(거래량부족),6.745638593595116,332.80999755859375,276.5039998372396,2.2206558401965393,0.8169082012866289,2.9578707832387225,0.8890762329084417,30.352760311986636,Health Care
BDX,Becton Dickinson,돌파(거래량부족),6.612838401271631,187.6199951171875,159.65595245361328,0.1441094234727162,0.6402039758987008,1.685423778492575,0.22715347980475017,29.9069954670681,Health Care
AMGN,암젠,돌파(거래량부족),6.566758015700285,433.7300109863281,362.63233337402346,2.8307930959760053,0.8474183802949757,2.9930453579372607,3.3875843329577724,31.16196137402174,Health Care
DGX,Quest Diagnostics,돌파(거래량부족),6.152765869296314,241.3000030517578,204.77333323160806,0.4872353080225403,0.7573404422611781,3.860095080152907,4.138511942914246,26.185532426531207,Health Care
BIO,Bio-Rad Laboratories,돌파(거래량부족),6.014853492397179,376.4599914550781,291.82366434733075,3.139723686322774,0.64175801122358,1.9978494412467562,-2.695720114980118,22.85334985343221,Health Care
SEIC,SEI Investments Company,돌파(거래량부족),5.976205390423751,107.5999984741211,88.80033315022787,0.5607462374963493,0.6748073443253572,3.1227015523818933,4.395089042437881,24.81813900684365,Financials
JLL,Jones Lang LaSalle,돌파(거래량부족),5.800279772968521,384.29998779296875,320.4496653238932,2.2863369442539008,0.8105830403290217,0.8509953578776714,-1.3756377928522208,38.50539592338757,Real Estate
RVTY,Revvity,돌파(거래량부족),5.470233043643923,124.12999725341797,100.67633336385092,4.892683027465564,0.7789315717324183,1.2178484411546138,2.997114970597943,21.10632173324142,Health Care
REGN,리제네론 파머슈티컬스,돌파(거래량부족),4.745097338768122,826.6400146484375,718.9263366699219,0.6734821638427998,0.584197470470878,0.5485283017776971,-2.7813425741574864,36.83955044315197,Health Care
