ticker,name,close,sma_short,sma_mid,sma_long,days_since_alignment,volume_ratio,momentum_pct,score,industry
181710,NHN,75200.0,50820.0,42585.0,40977.916666666664,7,1.3480437894071111,22.67536704730832,4.015580494137943,소프트웨어 개발 및 공급업
001940,KISCO홀딩스,27150.0,26887.5,25556.0,25161.666666666668,4,2.4306969266731753,-1.9855595667870036,3.130696926673175,1차 철강 제조업
241710,코스메카코리아,137300.0,101795.0,86098.0,81326.66666666667,6,0.9212927046518978,10.281124497991968,2.4494051544510946,기타 화학제품 제조업
251970,펌텍코리아,59800.0,50867.5,43682.0,43197.083333333336,1,1.2553590054299477,0.0,2.2553590054299475,플라스틱제품 제조업
092230,KPX홀딩스,94200.0,88040.0,84988.0,84161.66666666667,4,1.3556448138316353,-4.0733197556008145,2.055644813831635,기초 화학물질 제조업
446540,메가터치,6820.0,6910.5,6705.2,6094.333333333333,7,1.6263177028057345,-15.279503105590061,2.0263177028057346,일차전지 및 이차전지 제조업
003550,LG,107700.0,104985.0,103530.0,102408.33333333333,3,1.0564787420894868,-2.268602540834846,1.8564787420894868,기타 금융업
007340,DN오토모티브,44200.0,45662.5,41642.0,40262.5,10,1.4587007089111392,-7.142857142857142,1.5587007089111393,일차전지 및 이차전지 제조업
244920,에이플러스에셋,13030.0,12419.5,11412.2,11226.833333333334,3,0.6676260322133929,-1.8085908063300677,1.467626032213393,보험 및 연금관련 서비스업
008490,서흥,22500.0,23198.5,20691.0,20236.333333333332,5,0.8348068605811194,-9.456740442655935,1.4348068605811193,기타 화학제품 제조업
096530,씨젠,30500.0,29047.5,28617.0,26815.0,4,0.623247896812814,0.6600660066006601,1.38925449747288,의료용품 및 기타 의약 관련제품 제조업
028050,삼성E&A,45150.0,46910.0,46340.0,45641.666666666664,4,0.6802393279025356,-5.741127348643007,1.3802393279025356,"건축기술, 엔지니어링 및 관련 기술 서비스업"
005950,이수화학,11880.0,13413.0,13399.6,11319.916666666666,9,1.1673450114718535,-20.053835800807537,1.3673450114718535,기초 화학물질 제조업
138040,메리츠금융지주,115400.0,120475.0,114586.0,113159.16666666667,4,0.6012710618632917,-1.5358361774744027,1.3012710618632917,기타 금융업
119850,지엔씨에너지,48250.0,46230.0,34486.6,33085.166666666664,3,0.43577039058521244,-12.112932604735883,1.2357703905852124,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
236200,슈프리마,56100.0,55017.5,49013.0,48341.666666666664,3,0.4215647131447632,-3.1088082901554404,1.2215647131447631,통신 및 방송 장비 제조업
018260,삼성에스디에스,228000.0,221375.0,210896.0,194419.16666666666,6,0.5970320720212349,-3.79746835443038,1.0970320720212348,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
081660,미스토홀딩스,41750.0,43990.0,43805.0,42783.75,7,0.6183342094619514,-2.6806526806526807,1.0183342094619514,생활용품 도매업
051900,LG생활건강,313000.0,295500.0,262120.0,256025.0,7,0.5935219671594404,-0.3184713375796179,0.9935219671594404,기타 화학제품 제조업
073240,금호타이어,7250.0,7130.0,6153.3,5877.25,5,0.38348440260445127,-10.933660933660933,0.9834844026044512,고무제품 제조업
092730,네오팜,22550.0,21528.5,19465.8,18743.25,8,0.646585340911471,-11.394891944990176,0.9465853409114711,기타 화학제품 제조업
108670,LX하우시스,33750.0,33452.5,32744.0,32402.5,10,0.7949010357271179,-2.0319303338171264,0.8949010357271179,플라스틱제품 제조업
024840,KBI메탈,5290.0,4788.0,4614.0,4212.158333333334,5,0.27877385093314344,-8.0,0.8787738509331434,1차 비철금속 제조업
033780,KT&G,172300.0,179110.0,177790.0,172582.5,10,0.45382952360716083,-8.739406779661017,0.5538295236071609,담배 제조업
