ticker,name,close,sma_short,sma_mid,sma_long,days_since_alignment,volume_ratio,momentum_pct,score,industry
DG,Dollar General,127.06999969482422,123.77200012207031,121.03459991455078,118.66716651916504,6,2.229194646947098,5.382316939141122,3.26742634086121,Consumer Staples
TD,토론토 도미니언 뱅크,121.08999633789062,120.6064998626709,120.52180007934571,111.08049983978272,2,1.4276181532734953,1.389932201685596,2.466611373442055,정보없음
SCCO,서던 코퍼,218.05499267578125,197.4994773864746,185.8767251586914,181.7814717610677,7,0.5474119408293718,12.006883541920288,2.1481002950214005,정보없음
GOOG,알파벳 C,337.7099914550781,348.62500152587893,348.3933996582031,345.582666015625,1,1.039198092709572,0.0,2.0391980927095723,Communication Services
MCK,McKesson Corporation,890.510009765625,868.2295043945312,829.8438012695312,826.5048329671224,2,1.0917815845613412,-0.6847727074395431,1.9917815845613411,Health Care
TER,테라다인,372.05999755859375,385.99049987792966,382.8365985107422,363.32483189900717,2,0.8294783965271655,2.4676373738544455,1.9762421339126102,Information Technology
SPGI,S&P 글로벌,435.3900146484375,419.7170013427734,419.562802734375,409.15495147705076,1,0.9513133862711745,0.0,1.9513133862711745,Financials
GEHC,GE HealthCare,72.4800033569336,72.40850028991699,67.38010025024414,67.3735419591268,1,0.9447141298870297,0.0,1.9447141298870299,Health Care
SMCI,Supermicro,38.459999084472656,34.735999774932864,31.02299987792969,30.874416557947793,2,0.7540540675270812,2.861726965206777,1.9402267640477588,Information Technology
GOOGL,알파벳 A,340.6499938964844,350.7484985351563,350.12159912109377,347.65708287556964,1,0.9055636656166136,0.0,1.9055636656166137,Communication Services
SAP,SAP(ADR),221.1199951171875,207.47049865722656,178.5239993286133,176.6741667429606,3,0.9083926813511352,1.931499830762699,1.9015426644274052,정보없음
CNC,Centene Corporation,65.33000183105469,65.19899959564209,65.12299987792969,54.90841665267944,1,0.878069681345292,0.0,1.878069681345292,Health Care
PLTR,팔란티어 테크,185.92999267578125,167.86099815368652,142.6321990966797,142.5291243871053,1,0.8716630961955882,0.0,1.8716630961955882,Information Technology
NVT,nVent Electric plc,155.5500030517578,161.40850143432618,160.03400024414063,150.890083694458,2,0.916511811585693,0.20615044323033382,1.8371268559087264,Industrials
PWR,Quanta Services,621.8300170898438,664.4035064697266,664.2472045898437,656.3595850626627,2,0.7794754938861874,0.8269480619731557,1.7621703000835032,Industrials
UBER,우버 테크놀로지스,76.94999694824219,75.5754997253418,73.52700012207032,73.47425009409586,1,0.7427658821557391,0.0,1.742765882155739,Industrials
IT,Gartner,196.60000610351562,185.0625015258789,156.26800033569336,155.73883330027263,1,0.7366036436736739,0.0,1.736603643673674,Information Technology
EXPO,"Exponent, Inc.",71.1500015258789,68.36299934387208,63.95359962463379,63.46208324432373,2,0.6748383921980898,1.151557051691157,1.6899940973672054,Industrials
JKHY,Jack Henry & Associates,169.63999938964844,159.40599899291993,150.13359939575196,149.31583251953126,1,0.6746246139104374,0.0,1.6746246139104373,Financials
CSCO,시스코 시스템즈,112.1500015258789,115.54850006103516,115.49960006713867,104.41616662343343,1,0.6315933405029647,0.0,1.6315933405029646,Information Technology
NBIS,네비우스 그룹,218.47999572753906,222.0270004272461,220.81,189.7795420328776,1,0.5992514561792004,0.0,1.5992514561792004,정보없음
GWRE,Guidewire Software,199.74000549316406,175.71499938964843,150.40220016479492,145.0924165725708,5,0.44072708453640164,5.576406213655629,1.5983677059019645,Information Technology
UNM,Unum,93.00499725341797,90.17274932861328,89.35609970092773,83.6748748143514,3,0.40353432968333824,3.6960583362425234,1.5731401633075905,Financials
KEYS,Keysight Technologies,325.3599853515625,333.6845001220703,330.47460021972654,327.75266520182294,3,0.5697365922858402,1.6368831420407768,1.533424906489918,Information Technology
PR,Permian Resources,23.18000030517578,21.888000106811525,20.45820007324219,20.346583302815755,3,0.6898184288491003,-0.5150168919057196,1.4898184288491003,Energy
CLX,Clorox,103.62999725341797,105.05400009155274,99.61300033569336,99.21991697947185,2,0.5636668696350958,-0.5756558420716115,1.4636668696350958,Consumer Staples
MSI,Motorola Solutions,486.5400085449219,466.396501159668,434.4920007324219,431.83850148518883,2,0.510209550351037,-0.15186140129469233,1.410209550351037,Information Technology
SITM,SiTime,599.8900146484375,634.7839996337891,625.7940002441406,581.8274180094401,2,0.4403362040410732,0.48914419294377653,1.3892506233354507,Information Technology
PCG,PG&E Corporation,18.079999923706055,17.611999893188475,17.393600006103515,17.200666681925455,7,0.7048359993443344,2.4362624049256927,1.3484622398369037,Utilities
REGN,리제네론 파머슈티컬스,810.8900146484375,801.2749938964844,712.958798828125,708.8747492472331,2,0.42393270338918476,-0.47864645909714054,1.3239327033891848,Health Care
CMG,Chipotle Mexican Grill,36.890499114990234,34.80202503204346,34.128210105895995,33.35608762105306,7,0.22933729403204414,6.435370102128449,1.2728743042448891,Consumer Discretionary
DAR,Darling Ingredients,61.38999938964844,63.24949951171875,60.42299980163574,60.06433312098185,8,0.9523465466657378,-10.169735617016432,1.2523465466657377,Consumer Staples
ARGX,아제닉스(ADR),1054.7950439453125,933.8277465820313,906.1872961425781,836.6627909342448,7,0.6362702179482678,2.123720436926772,1.2486422616409452,정보없음
MORN,"Morningstar, Inc.",215.6199951171875,205.9840003967285,182.84679992675783,179.241167195638,9,0.5797415069219813,4.295244939575595,1.2092660008795408,Financials
GIS,General Mills,40.564998626708984,38.26424999237061,37.059099960327146,36.11729173660278,7,0.6442896164359967,1.437851773214111,1.1880747937574079,Consumer Staples
BWA,BorgWarner,64.86000061035156,66.55500068664551,65.89620040893554,62.522250207265216,3,0.3626918587910506,-0.36866032165106194,1.1626918587910506,Consumer Discretionary
CNH,CNH Industrial,11.46500015258789,10.866249990463256,10.73329999923706,10.679791657129924,3,0.34869288997105474,-0.8218015880656739,1.1486928899710547,Industrials
EXLS,EXL Service,38.064998626708984,35.6292501449585,30.895900115966796,30.457041676839193,4,0.2977199907529237,1.0754083402491181,1.1052608247778355,Industrials
SFM,Sprouts Farmers Market,82.41999816894531,84.03799972534179,81.62159973144531,80.7972500483195,8,0.34722562551675185,4.54084474549136,1.1013101000658878,Consumer Staples
SLAB,Silicon Labs,218.88999938964844,218.5095001220703,218.21739990234374,215.33450037638346,3,0.266445249194694,0.23812990982661286,1.0902582401773553,Information Technology
COR,Cencora,322.4049987792969,318.302751159668,305.9599005126953,302.55304120381675,3,0.28698020071255675,-1.723769682796164,1.0869802007125569,Health Care
MKC,McCormick & Company,54.4900016784668,53.84850006103515,52.051599960327145,51.29866669972738,4,0.38646253632481614,-3.04270295597629,1.0864625363248162,Consumer Staples
EW,Edwards Lifesciences,90.4000015258789,90.58200035095214,89.3268000793457,85.54825007120768,6,0.5146204034086945,0.634531540916842,1.0780735575003788,Health Care
UGI,UGI Corp,38.43000030517578,36.42349967956543,35.99680000305176,35.84416669209798,3,0.250164486025599,0.20860973725637413,1.0710254597512363,Utilities
WST,West Pharmaceutical Services,348.3999938964844,349.784001159668,349.40620056152346,312.1677505493164,3,0.26172928732578693,-0.0229617445251083,1.0617292873257869,Health Care
UFPI,UFP Industries,85.54000091552734,89.95200004577637,88.19000045776367,87.90933348337809,3,0.251455421120639,-3.5951789932587386,1.051455421120639,Industrials
ITT,ITT Inc.,207.4488983154297,210.40994415283203,200.16337768554686,199.81257387797038,3,0.1716760963793268,0.7131287592770039,1.0429889723070271,Industrials
SWKS,Skyworks Solutions,66.53500366210938,67.27125091552735,65.16790046691895,64.74829184214273,6,0.5278959186082067,-2.067999306459539,1.0278959186082068,Information Technology
